id,label,summary
attack.v.05,attack||attack.v.05,set to work upon; turn one's energies vigorously to a task
break_in.v.03,break_in||break_in.v.03,"start in a certain activity, enterprise, or role"
plunge.v.04,plunge||plunge.v.04,begin with vigor
come_on.v.05,come_on||come_on.v.05,occur or become available
embark.v.02,embark||embark.v.02,set out on (an enterprise or subject of study)
take_up.v.01,take_up||take_up.v.01,pursue or resume
get_cracking.v.01,get_cracking||get_cracking.v.01,start to be active
begin.v.03,begin||begin.v.03,"set in motion, cause to start"
jumpstart.v.02,jumpstart||jumpstart.v.02,start or re-start vigorously
recommence.v.01,recommence||recommence.v.01,cause to start anew
inaugurate.v.03,inaugurate||inaugurate.v.03,be a precursor of
set_off.v.06,set_off||set_off.v.06,set in motion or cause to begin
carry_over.v.01,carry_over||carry_over.v.01,transfer or persist from one stage or sphere of activity to another
resume.v.01,resume||resume.v.01,take up or begin anew
resume.v.02,resume||resume.v.02,return to a previous location or condition
persevere.v.01,persevere||persevere.v.01,"be persistent, refuse to stop"
obstinate.v.01,obstinate||obstinate.v.01,persist stubbornly
ask_for_it.v.01,ask_for_it||ask_for_it.v.01,persist with actions or an attitude despite the probability that it will cause trouble
plug.v.02,plug||plug.v.02,persist in working hard
stick_to.v.02,stick_to||stick_to.v.02,keep to
pass_away.v.02,pass_away||pass_away.v.02,go out of existence
close_out.v.03,close_out||close_out.v.03,terminate
lapse.v.02,lapse||lapse.v.02,"end, at least for a long time"
finish.v.06,finish||finish.v.06,cause to finish a relationship with somebody
close.v.17,close||close.v.17,finish a game in baseball by protecting a lead
cut_out.v.06,cut_out||cut_out.v.06,cease operating
go_out.v.04,go_out||go_out.v.04,become extinguished
finish_up.v.02,finish_up||finish_up.v.02,finally be or do something
end.v.02,end||end.v.02,bring to an end or halt
give_the_axe.v.02,give_the_axe||give_the_axe.v.02,terminate a relationship abruptly
abort.v.01,abort||abort.v.01,terminate before completion
culminate.v.02,culminate||culminate.v.02,bring to a head or to the highest point
lift.v.20,lift||lift.v.20,put an end to
ax.v.02,ax||ax.v.02,terminate
stem.v.03,stem||stem.v.03,stop the flow of a liquid
check.v.23,check||check.v.23,arrest the motion (of something) abruptly
die.v.10,die||die.v.10,disappear or come to an end
stamp_out.v.01,stamp_out||stamp_out.v.01,end or extinguish by forceful means
kill.v.15,kill||kill.v.15,destroy a vitally essential quality of or in
kill.v.14,kill||kill.v.14,cause to cease operating
kill.v.13,kill||kill.v.13,tire out completely
snap.v.05,snap||snap.v.05,close with a snapping motion
dissolve.v.03,dissolve||dissolve.v.03,come to an end
dissolve.v.10,dissolve||dissolve.v.10,bring the association of to an end or cause to break up
change_surface.v.01,change_surface||change_surface.v.01,undergo or cause to undergo a change in the surface
level.v.06,level||level.v.06,become level or even
crust.v.01,crust||crust.v.01,form a crust or form into a crust
heave.v.07,heave||heave.v.07,"bend out of shape, as under pressure or from heat"
lift.v.19,lift||lift.v.19,"rise upward, as from pressure or moisture"
shoot.v.19,shoot||shoot.v.19,"produce buds, branches, or germinate"
germinate.v.03,germinate||germinate.v.03,cause to grow or sprout
burgeon.v.01,burgeon||burgeon.v.01,grow and flourish
bud.v.01,bud||bud.v.01,develop buds
root.v.01,root||root.v.01,take root and begin to grow
root.v.06,root||root.v.06,cause to take roots
die.v.01,die||die.v.01,pass from physical life and lose all bodily attributes and functions necessary to sustain life
strangle.v.03,strangle||strangle.v.03,die from strangulation
suffocate.v.05,suffocate||suffocate.v.05,be asphyxiated; die from lack of oxygen
buy_it.v.01,buy_it||buy_it.v.01,be killed or die
go.v.09,go||go.v.09,be abolished or discarded
leave.v.12,leave||leave.v.12,be survived by after one's death
widow.v.01,widow||widow.v.01,cause to be without a spouse
drown.v.03,drown||drown.v.03,"die from being submerged in water, getting water into the lungs, and asphyxiating"
fall.v.29,fall||fall.v.29,"be born, used chiefly of lambs"
predecease.v.01,predecease||predecease.v.01,die before; die earlier than
be_born.v.01,be_born||be_born.v.01,come into existence through birth
come_to_life.v.01,come_to_life||come_to_life.v.01,be born or come into existence
cloud_over.v.02,cloud_over||cloud_over.v.02,become overcast
mist.v.01,mist||mist.v.01,become covered with mist
demist.v.01,demist||demist.v.01,free from mist
bloat.v.01,bloat||bloat.v.01,become bloated or swollen or puff up
bloat.v.02,bloat||bloat.v.02,make bloated or swollen
curl.v.01,curl||curl.v.01,"form a curl, curve, or kink"
break.v.10,break||break.v.10,prevent completion
hold_on.v.02,hold_on||hold_on.v.02,"stop and wait, as if awaiting further instructions or developments"
cut_short.v.01,cut_short||cut_short.v.01,interrupt before its natural or planned end
hang_up.v.03,hang_up||hang_up.v.03,interrupt a telephone conversation
drop.v.07,drop||drop.v.07,stop pursuing or acting
nolle_pros.v.01,nolle_pros||nolle_pros.v.01,drop prosecution of by entering a nolle prosequi in the court records
freeze.v.05,freeze||freeze.v.05,stop a process or a habit by imposing a freeze on it
bog_down.v.01,bog_down||bog_down.v.01,get stuck while doing something
bog_down.v.04,bog_down||bog_down.v.04,cause to slow down or get stuck
interrupt.v.04,interrupt||interrupt.v.04,terminate
adjourn.v.01,adjourn||adjourn.v.01,close at the end of a session
punctuate.v.03,punctuate||punctuate.v.03,interrupt periodically
pasteurize.v.01,pasteurize||pasteurize.v.01,heat food in order to kill harmful microorganisms
condense.v.01,condense||condense.v.01,undergo condensation; change from a gaseous to a liquid state and fall in drops
condense.v.07,condense||condense.v.07,compress or concentrate
condense.v.06,condense||condense.v.06,develop due to condensation
condense.v.05,condense||condense.v.05,become more compact or concentrated
sublime.v.01,sublime||sublime.v.01,vaporize and then condense right back again
sublime.v.02,sublime||sublime.v.02,change or cause to change directly from a solid into a vapor without first melting
condense.v.04,condense||condense.v.04,cause a gas or vapor to change into a liquid
condense.v.03,condense||condense.v.03,remove water from
resublime.v.01,resublime||resublime.v.01,sublime (a compound) once again
evaporate.v.01,evaporate||evaporate.v.01,lose or cause to lose liquid by vaporization leaving a more concentrated residue
pervaporate.v.02,pervaporate||pervaporate.v.02,cause (a liquid) to evaporate through a semipermeable membrane
pervaporate.v.01,pervaporate||pervaporate.v.01,evaporate through a semipermeable membrane
transpire.v.02,transpire||transpire.v.02,exude water vapor
unify.v.01,unify||unify.v.01,become one
unitize.v.03,unitize||unitize.v.03,separate or classify into units
clog.v.05,clog||clog.v.05,coalesce or unite in a mass
syncretize.v.02,syncretize||syncretize.v.02,unite (beliefs or conflicting principles)
disunify.v.01,disunify||disunify.v.01,break up or separate
converge.v.04,converge||converge.v.04,come together so as to form a single product
league.v.01,league||league.v.01,unite to form a league
federate.v.02,federate||federate.v.02,unite on a federal basis or band together as a league
federate.v.01,federate||federate.v.01,enter into a league for a common purpose
carbonize.v.02,carbonize||carbonize.v.02,"turn into carbon, as by burning"
cool.v.02,cool||cool.v.02,loose heat
cool.v.03,cool||cool.v.03,lose intensity
overheat.v.01,overheat||overheat.v.01,get excessively and undesirably hot
cool.v.01,cool||cool.v.01,make cool or cooler
quench.v.06,quench||quench.v.06,cool (hot metal) by plunging into cold water or other liquid
ice.v.03,ice||ice.v.03,put ice on or put on ice
refrigerate.v.02,refrigerate||refrigerate.v.02,cool or chill in or as if in a refrigerator
heat.v.01,heat||heat.v.01,make hot or hotter
scald.v.03,scald||scald.v.03,heat to the boiling point
scald.v.02,scald||scald.v.02,treat with boiling water
refrigerate.v.01,refrigerate||refrigerate.v.01,preserve by chilling
soak.v.09,soak||soak.v.09,heat a metal prior to working it
calcine.v.01,calcine||calcine.v.01,heat a substance so that it oxidizes or reduces
preheat.v.01,preheat||preheat.v.01,heat beforehand
overheat.v.02,overheat||overheat.v.02,make excessively or undesirably hot
heat.v.04,heat||heat.v.04,gain heat or get hot
warm.v.02,warm||warm.v.02,make warm or warmer
warm_up.v.02,warm_up||warm_up.v.02,become more friendly or open
warm.v.01,warm||warm.v.01,get warm or warmer
chafe.v.06,chafe||chafe.v.06,"warm by rubbing, as with the hands"
carbonize.v.01,carbonize||carbonize.v.01,unite with carbon
cauterize.v.01,cauterize||cauterize.v.01,"burn, sear, or freeze (tissue) using a hot iron or electric current or a caustic agent"
freeze.v.02,freeze||freeze.v.02,change to ice
glaciate.v.02,glaciate||glaciate.v.02,become frozen and covered with glaciers
concrete.v.02,concrete||concrete.v.02,form into a solid mass; coalesce
boil.v.03,boil||boil.v.03,"bring to, or maintain at, the boiling point"
decoct.v.01,decoct||decoct.v.01,extract the essence of something by boiling it
boil.v.01,boil||boil.v.01,come to the boiling point and change from a liquid to vapor
boil_over.v.01,boil_over||boil_over.v.01,overflow or cause to overflow while boiling
deep_freeze.v.01,deep_freeze||deep_freeze.v.01,"store in a deep-freeze, as for conservation"
ice.v.02,ice||ice.v.02,cause to become ice or icy
quick-freeze.v.01,quick-freeze||quick-freeze.v.01,freeze rapidly so as to preserve the natural juices and flavors
freeze.v.04,freeze||freeze.v.04,cause to freeze
dissolve.v.09,dissolve||dissolve.v.09,become or cause to become soft or liquid
deliquesce.v.02,deliquesce||deliquesce.v.02,melt or become liquid by absorbing moisture from the air
defrost.v.01,defrost||defrost.v.01,make or become free of frost or ice
burn.v.03,burn||burn.v.03,undergo combustion
burn_down.v.01,burn_down||burn_down.v.01,burn completely; be consumed or destroyed by fire
smolder.v.01,smolder||smolder.v.01,burn slowly and without a flame
sear.v.01,sear||sear.v.01,make very hot and dry
sizzle.v.03,sizzle||sizzle.v.03,burn or sear with a sizzling sound
burn.v.07,burn||burn.v.07,cause to undergo combustion
incinerate.v.01,incinerate||incinerate.v.01,become reduced to ashes
singe.v.01,singe||singe.v.01,burn superficially or lightly
burn.v.01,burn||burn.v.01,destroy by fire
backfire.v.03,backfire||backfire.v.03,set a controlled fire to halt an advancing forest to prairie fire
cremate.v.01,cremate||cremate.v.01,reduce to ashes
torch.v.01,torch||torch.v.01,"burn maliciously, as by arson"
char.v.02,char||char.v.02,burn slightly and superficially so as to affect color
blister.v.01,blister||blister.v.01,get blistered
blister.v.03,blister||blister.v.03,cause blisters to form on
switch.v.04,switch||switch.v.04,make a shift in or exchange of
permute.v.01,permute||permute.v.01,change the order or arrangement of
map.v.06,map||map.v.06,to establish a mapping (of mathematical elements or sets)
transpose.v.07,transpose||transpose.v.07,change key
convert.v.01,convert||convert.v.01,change from one system to another or to a new plan or policy
metricize.v.02,metricize||metricize.v.02,convert from a non-metric to the metric system
flour.v.02,flour||flour.v.02,convert grain into flour
transform.v.03,transform||transform.v.03,change in outward structure or looks
transform.v.07,transform||transform.v.07,increase or decrease (an alternating current or voltage)
transform.v.06,transform||transform.v.06,change (a bacterial cell) into a genetically distinct cell by the introduction of DNA from another cell of the same or closely related species
transform.v.05,transform||transform.v.05,convert (one form of energy) to another
aurify.v.01,aurify||aurify.v.01,transform into gold
transmute.v.03,transmute||transmute.v.03,alter the nature of (elements)
transform.v.02,transform||transform.v.02,"change or alter in form, appearance, or nature"
transubstantiate.v.01,transubstantiate||transubstantiate.v.01,change (the Eucharist bread and wine) into the body and blood of Christ
sorcerize.v.01,sorcerize||sorcerize.v.01,transform or change by means of sorcery
ash.v.01,ash||ash.v.01,convert into ashes
translate.v.02,translate||translate.v.02,change from one form or medium into another
metricize.v.01,metricize||metricize.v.01,express in the metric system
reclaim.v.04,reclaim||reclaim.v.04,make useful again; transform from a useless or uncultivated state
metamorphose.v.01,metamorphose||metamorphose.v.01,change completely the nature or appearance of
convert.v.03,convert||convert.v.03,"change religious beliefs, or adopt a religious belief"
reform.v.02,reform||reform.v.02,"bring, lead, or force to abandon a wrong or evil course of life, conduct, and adopt a right one"
moralize.v.03,moralize||moralize.v.03,improve the morals of
regenerate.v.02,regenerate||regenerate.v.02,amplify (an electron current) by causing part of the power in the output circuit to act upon the input circuit
convert.v.05,convert||convert.v.05,cause to adopt a new or different faith
islamize.v.02,islamize||islamize.v.02,convert to Islam
christianize.v.02,christianize||christianize.v.02,convert to Christianity
christianize.v.01,christianize||christianize.v.01,adapt in the name of Christianity
islamize.v.01,islamize||islamize.v.01,cause to conform to Islamic law
evangelize.v.02,evangelize||evangelize.v.02,convert to Christianity
catholicize.v.01,catholicize||catholicize.v.01,cause to adopt Catholicism
turn_back.v.05,turn_back||turn_back.v.05,turn inside out or upside down
invert.v.02,invert||invert.v.02,"reverse the position, order, relation, or condition of"
invert.v.01,invert||invert.v.01,make an inversion (in a musical composition)
revert.v.01,revert||revert.v.01,go back to a previous state
resile.v.04,resile||resile.v.04,return to the original position or state after being stretched or compressed
customize.v.02,customize||customize.v.02,make according to requirements
personalize.v.01,personalize||personalize.v.01,make personal or more personal
depersonalize.v.01,depersonalize||depersonalize.v.01,make impersonal or present as an object
lay_waste_to.v.01,lay_waste_to||lay_waste_to.v.01,cause extensive destruction or ruin utterly
harry.v.02,harry||harry.v.02,"make a pillaging or destructive raid on (a place), as in wartimes"
emaciate.v.02,emaciate||emaciate.v.02,grow weak and thin or waste away physically
waste.v.08,waste||waste.v.08,cause to grow thin or weak
enfeeble.v.01,enfeeble||enfeeble.v.01,make weak
enervate.v.01,enervate||enervate.v.01,weaken mentally or morally
pine_away.v.01,pine_away||pine_away.v.01,"lose vigor, health, or flesh, as through grief"
dampen.v.07,dampen||dampen.v.07,lessen in force or effect
dampen.v.06,dampen||dampen.v.06,check; keep in check (a fire)
dampen.v.05,dampen||dampen.v.05,make vague or obscure or make (an image) less visible
shush.v.01,shush||shush.v.01,silence (someone) by uttering `shush!'
stifle.v.02,stifle||stifle.v.02,smother or suppress
suffocate.v.04,suffocate||suffocate.v.04,"suppress the development, creativity, or imagination of"
suffocate.v.03,suffocate||suffocate.v.03,"become stultified, suppressed, or stifled"
choke_off.v.01,choke_off||choke_off.v.01,suppress
dampen.v.04,dampen||dampen.v.04,reduce the amplitude (of oscillations or waves)
dull.v.07,dull||dull.v.07,make less lively or vigorous
cloud.v.08,cloud||cloud.v.08,make milky or dull
dull.v.02,dull||dull.v.02,become dull or lusterless in appearance; lose shine or brightness
pall.v.07,pall||pall.v.07,"lose strength or effectiveness; become or appear boring, insipid, or tiresome (to)"
sharpen.v.03,sharpen||sharpen.v.03,become sharp or sharper
sharpen.v.02,sharpen||sharpen.v.02,make crisp or more crisp and precise
sharpen.v.08,sharpen||sharpen.v.08,make (one's senses) more acute
subtilize.v.03,subtilize||subtilize.v.03,make (senses) more keen
strap.v.03,strap||strap.v.03,sharpen with a strap
sharpen.v.07,sharpen||sharpen.v.07,give a point to
acuminate.v.01,acuminate||acuminate.v.01,make sharp or acute; taper; make (something) come to a point
sharpen.v.06,sharpen||sharpen.v.06,raise the pitch of (musical notes)
flatten.v.03,flatten||flatten.v.03,lower the pitch of (musical notes)
acclimatize.v.01,acclimatize||acclimatize.v.01,get used to a certain climate
synchronize.v.01,synchronize||synchronize.v.01,make synchronous and adjust in time or manner
phase.v.02,phase||phase.v.02,adjust so as to be in a synchronized condition
desynchronize.v.01,desynchronize||desynchronize.v.01,cause to become desynchronized; cause to occur at unrelated times
blend.v.03,blend||blend.v.03,mix together different elements
gauge.v.06,gauge||gauge.v.06,mix in specific proportions
absorb.v.05,absorb||absorb.v.05,cause to become one with
melt.v.04,melt||melt.v.04,lose its distinct outline or shape; blend gradually
blend_in.v.02,blend_in||blend_in.v.02,cause (something) to be mixed with (something else)
cut_in.v.05,cut_in||cut_in.v.05,mix in with cutting motions
accrete.v.01,accrete||accrete.v.01,grow together (of plants and organs)
conjugate.v.01,conjugate||conjugate.v.01,unite chemically so that the product is easily broken down into the original compounds
admix.v.01,admix||admix.v.01,mix or blend
alloy.v.02,alloy||alloy.v.02,make an alloy of
fuse.v.04,fuse||fuse.v.04,make liquid or plastic by heating
fuse.v.02,fuse||fuse.v.02,become plastic or fluid or liquefied from heat
crumble.v.02,crumble||crumble.v.02,break or fall apart into fragments
disintegrate.v.01,disintegrate||disintegrate.v.01,break into parts or components or lose cohesion or unity
digest.v.06,digest||digest.v.06,"soften or disintegrate, as by undergoing exposure to heat or moisture"
fold.v.02,fold||fold.v.02,incorporate a food ingredient into a mixture by repeatedly turning it over without stirring or beating
reintegrate.v.01,reintegrate||reintegrate.v.01,integrate again
macerate.v.03,macerate||macerate.v.03,"soften, usually by steeping in liquid, and cause to disintegrate as a result"
macerate.v.02,macerate||macerate.v.02,become soft or separate and disintegrate as a result of excessive soaking
macerate.v.01,macerate||macerate.v.01,separate into constituents by soaking
disintegrate.v.03,disintegrate||disintegrate.v.03,"lose a stored charge, magnetic flux, or current"
disintegrate.v.02,disintegrate||disintegrate.v.02,cause to undergo fission or lose particles
putrefy.v.01,putrefy||putrefy.v.01,become putrid; decay with an offensive smell
magnetize.v.01,magnetize||magnetize.v.01,make magnetic
demagnetize.v.02,demagnetize||demagnetize.v.02,make nonmagnetic; take away the magnetic properties (of)
simplify.v.01,simplify||simplify.v.01,make simpler or easier or reduce in complexity or extent
oversimplify.v.02,oversimplify||oversimplify.v.02,make too simple
complicate.v.02,complicate||complicate.v.02,"make more complex, intricate, or richer"
complexify.v.02,complexify||complexify.v.02,make complex
complexify.v.01,complexify||complexify.v.01,have or develop complicating consequences
involve.v.07,involve||involve.v.07,make complex or intricate or complicated
refine.v.06,refine||refine.v.06,make more precise or increase the discriminatory powers of
refine.v.05,refine||refine.v.05,"attenuate or reduce in vigor, strength, or validity by polishing or purifying"
develop.v.19,develop||develop.v.19,elaborate by the unfolding of a musical idea and by the working out of the rhythmic and harmonic changes in the theme
sophisticate.v.04,sophisticate||sophisticate.v.04,make more complex or refined
complicate.v.01,complicate||complicate.v.01,make more complicated
snarl.v.04,snarl||snarl.v.04,make more complicated or confused through entanglements
snafu.v.01,snafu||snafu.v.01,cause to be in a state of complete confusion
pressurize.v.03,pressurize||pressurize.v.03,increase the pressure in or of
pressurize.v.02,pressurize||pressurize.v.02,maintain a certain pressure
supercharge.v.02,supercharge||supercharge.v.02,increase the pressure on a gas or liquid
puncture.v.04,puncture||puncture.v.04,cause to lose air pressure or collapse by piercing
depressurize.v.01,depressurize||depressurize.v.01,decrease the pressure of
structure.v.01,structure||structure.v.01,give a structure to
restructure.v.01,restructure||restructure.v.01,construct or form anew or provide with a new structure
organize.v.04,organize||organize.v.04,bring order and organization to
interlock.v.01,interlock||interlock.v.01,coordinate in such a way that all parts work together effectively
centralize.v.01,centralize||centralize.v.01,make central
decentralize.v.01,decentralize||decentralize.v.01,make less central
socialize.v.04,socialize||socialize.v.04,make conform to socialist ideas and philosophies
socialize.v.03,socialize||socialize.v.03,prepare for social life
fix.v.12,fix||fix.v.12,"make ready or suitable or equip in advance for a particular purpose or for some use, event, etc"
provide.v.07,provide||provide.v.07,take measures in preparation for
cram.v.04,cram||cram.v.04,prepare (students) hastily for an impending exam
precondition.v.01,precondition||precondition.v.01,put into the required condition beforehand
fix.v.07,fix||fix.v.07,"kill, preserve, and harden (tissue) in order to prepare for microscopic study"
mount.v.03,mount||mount.v.03,"fix onto a backing, setting, or support"
set_up.v.04,set_up||set_up.v.04,get ready for a particular purpose or event
rig.v.04,rig||rig.v.04,equip with sails or masts
winterize.v.01,winterize||winterize.v.01,prepare for winter
summerize.v.01,summerize||summerize.v.01,prepare for summer
prime.v.01,prime||prime.v.01,"insert a primer into (a gun, mine, or charge) preparatory to detonation or firing"
communize.v.02,communize||communize.v.02,make into property owned by the state
internationalize.v.02,internationalize||internationalize.v.02,make international in character
communize.v.01,communize||communize.v.01,make Communist or bring in accord with Communist principles
americanize.v.02,americanize||americanize.v.02,become American in character
europeanize.v.01,europeanize||europeanize.v.01,"make (continental) European in customs, character, or ideas"
europeanize.v.02,europeanize||europeanize.v.02,denationalize and subject (a territory) to the supervision of an agency of a European community of nations
bestialize.v.01,bestialize||bestialize.v.01,make brutal and depraved; give animal-like qualities to
americanize.v.01,americanize||americanize.v.01,make American in character
frenchify.v.02,frenchify||frenchify.v.02,become French in appearance or character
frenchify.v.01,frenchify||frenchify.v.01,make French in appearance or character
modernize.v.02,modernize||modernize.v.02,become technologically advanced
civilize.v.02,civilize||civilize.v.02,raise from a barbaric to a civilized state
nationalize.v.01,nationalize||nationalize.v.01,put under state control or ownership
denationalize.v.01,denationalize||denationalize.v.01,put under private control or ownership
privatize.v.01,privatize||privatize.v.01,change from governmental to private control or ownership
naturalize.v.01,naturalize||naturalize.v.01,make into a citizen
denaturalize.v.02,denaturalize||denaturalize.v.02,strip of the rights and duties of citizenship
naturalize.v.04,naturalize||naturalize.v.04,make more natural or lifelike
denaturalize.v.01,denaturalize||denaturalize.v.01,make less natural or unnatural
naturalize.v.03,naturalize||naturalize.v.03,adopt to another place
adopt.v.05,adopt||adopt.v.05,take into one's family
immigrate.v.03,immigrate||immigrate.v.03,come into a new country and change residency
immigrate.v.02,immigrate||immigrate.v.02,introduce or send as immigrants
settle.v.04,settle||settle.v.04,take up residence and become established
colonize.v.02,colonize||colonize.v.02,settle as colonists or establish a colony (in)
relocate.v.02,relocate||relocate.v.02,move or establish in a new location
relocate.v.01,relocate||relocate.v.01,become established in a new location
dislocate.v.02,dislocate||dislocate.v.02,"put out of its usual place, position, or relationship"
settle.v.21,settle||settle.v.21,form a community
homestead.v.01,homestead||homestead.v.01,settle land given by the government and occupy it as a homestead
settle.v.07,settle||settle.v.07,become settled or established and stable in one's residence or life style
roost.v.02,roost||roost.v.02,"settle down or stay, as if on a roost"
set_in.v.03,set_in||set_in.v.03,become established
resettle.v.01,resettle||resettle.v.01,settle in a new place
immigrate.v.01,immigrate||immigrate.v.01,migrate to a new environment
emigrate.v.01,emigrate||emigrate.v.01,leave one's country of residence for a new one
expatriate.v.02,expatriate||expatriate.v.02,move away from one's native country and adopt a new residence abroad
steady.v.01,steady||steady.v.01,make steady
even.v.03,even||even.v.03,make even or more even
even.v.02,even||even.v.02,become even or more even
equal.v.03,equal||equal.v.03,"make equal, uniform, corresponding, or matching"
homologize.v.02,homologize||homologize.v.02,make homologous
stiffen.v.02,stiffen||stiffen.v.02,make stiff or stiffer
starch.v.01,starch||starch.v.01,stiffen with starch
buckram.v.01,buckram||buckram.v.01,stiffen with or as with buckram
rigidify.v.02,rigidify||rigidify.v.02,make rigid and set into a conventional pattern
rigidify.v.01,rigidify||rigidify.v.01,become rigid
stiffen.v.01,stiffen||stiffen.v.01,become stiff or stiffer
stiffen.v.03,stiffen||stiffen.v.03,restrict
clamp_down.v.01,clamp_down||clamp_down.v.01,repress or suppress (something regarded as undesirable)
loosen.v.07,loosen||loosen.v.07,become loose or looser or less tight
loosen.v.01,loosen||loosen.v.01,make loose or looser
relax.v.02,relax||relax.v.02,make less taut
unbrace.v.02,unbrace||unbrace.v.02,remove from tension
tighten.v.02,tighten||tighten.v.02,become tight or tighter
tighten.v.01,tighten||tighten.v.01,make tight or tighter
frap.v.02,frap||frap.v.02,take up the slack of
tauten.v.02,tauten||tauten.v.02,make taut or tauter
tauten.v.01,tauten||tauten.v.01,become taut or tauter
transitivize.v.01,transitivize||transitivize.v.01,make transitive
detransitivize.v.01,detransitivize||detransitivize.v.01,intransitivize
slacken.v.04,slacken||slacken.v.04,make slack as by lessening tension or firmness
douse.v.06,douse||douse.v.06,slacken
slacken.v.03,slacken||slacken.v.03,become looser or slack
absent.v.01,absent||absent.v.01,go away or leave
evanesce.v.01,evanesce||evanesce.v.01,disappear gradually
fade.v.02,fade||fade.v.02,"lose freshness, vigor, or vitality"
appear.v.02,appear||appear.v.02,come into sight or view
peep.v.05,peep||peep.v.05,appear as though from hiding
erupt.v.07,erupt||erupt.v.07,appear on the skin
manifest.v.03,manifest||manifest.v.03,reveal its presence or make an appearance
wash_up.v.04,wash_up||wash_up.v.04,be carried somewhere by water or as if by water
come_to_light.v.01,come_to_light||come_to_light.v.01,be revealed or disclosed
gleam.v.03,gleam||gleam.v.03,appear briefly
come_on.v.01,come_on||come_on.v.01,appear or become visible; make a showing
emerge.v.01,emerge||emerge.v.01,"come out into view, as from concealment"
burst.v.06,burst||burst.v.06,emerge suddenly
get_on.v.05,get_on||get_on.v.05,"appear in a show, on T.V. or radio"
outcrop.v.01,outcrop||outcrop.v.01,"appear on the surface, come to the surface on the ground"
flash.v.02,flash||flash.v.02,appear briefly
flash.v.08,flash||flash.v.08,emit a brief burst of light
appear.v.05,appear||appear.v.05,"come into being or existence, or appear on the scene"
fulminate.v.02,fulminate||fulminate.v.02,come on suddenly and intensely
turn_out.v.05,turn_out||turn_out.v.05,"come, usually in answer to an invitation or summons"
resurface.v.03,resurface||resurface.v.03,appear again
basset.v.01,basset||basset.v.01,appear at the surface
appear.v.03,appear||appear.v.03,be issued or published
pop_out.v.01,pop_out||pop_out.v.01,appear suddenly
reappear.v.01,reappear||reappear.v.01,appear again
emerge.v.03,emerge||emerge.v.03,become known or apparent
break_through.v.02,break_through||break_through.v.02,penetrate
disappear.v.01,disappear||disappear.v.01,"get lost, as without warning or explanation"
vanish.v.04,vanish||vanish.v.04,cease to exist
skip_town.v.01,skip_town||skip_town.v.01,disappear without notifying anyone (idiom)
die_out.v.01,die_out||die_out.v.01,become extinct
minimize.v.01,minimize||minimize.v.01,make small or insignificant
hedge.v.04,hedge||hedge.v.04,minimize loss or risk
scale_down.v.01,scale_down||scale_down.v.01,reduce proportionally
scale_up.v.01,scale_up||scale_up.v.01,increase proportionally
maximize.v.01,maximize||maximize.v.01,make as big or large as possible
maximize.v.02,maximize||maximize.v.02,make the most of
reduce.v.01,reduce||reduce.v.01,cut down on; make a reduction in
spill.v.06,spill||spill.v.06,reduce the pressure of wind on (a sail)
quench.v.05,quench||quench.v.05,reduce the degree of (luminescence or phosphorescence) in (excited molecules or a material) by adding a suitable substance
cut.v.35,cut||cut.v.35,have a reducing effect
retrench.v.02,retrench||retrench.v.02,"make a reduction, as in one's workforce"
slash.v.04,slash||slash.v.04,cut drastically
thin_out.v.01,thin_out||thin_out.v.01,make sparse
thin_out.v.02,thin_out||thin_out.v.02,become sparser
thin.v.02,thin||thin.v.02,make thin or thinner
draw.v.32,draw||draw.v.32,reduce the diameter of (a wire or metal rod) by pulling it through a die
thin.v.01,thin||thin.v.01,lose thickness; become thin or thinner
thicken.v.02,thicken||thicken.v.02,become thick or thicker
thicken.v.01,thicken||thicken.v.01,make thick or thicker
thicken.v.03,thicken||thicken.v.03,make viscous or dense
decline.v.04,decline||decline.v.04,grow smaller
dip.v.03,dip||dip.v.03,go down momentarily
wear_on.v.01,wear_on||wear_on.v.01,pass slowly (of time)
heighten.v.02,heighten||heighten.v.02,"make more extreme; raise in quantity, degree, or intensity"
heighten.v.01,heighten||heighten.v.01,become more extreme
shoot_up.v.01,shoot_up||shoot_up.v.01,rise dramatically
drop.v.03,drop||drop.v.03,go down in value
slump.v.03,slump||slump.v.03,fall heavily or suddenly; decline markedly
tumble.v.08,tumble||tumble.v.08,fall suddenly and sharply
wax.v.02,wax||wax.v.02,go up or advance
wax.v.03,wax||wax.v.03,increase in phase
full.v.02,full||full.v.02,make (a garment) fuller by pleating or gathering
wane.v.03,wane||wane.v.03,decrease in phase
wane.v.02,wane||wane.v.02,become smaller
magnify.v.01,magnify||magnify.v.01,"increase in size, volume or significance"
fail.v.04,fail||fail.v.04,stop operating or functioning
crash.v.12,crash||crash.v.12,stop operating
give_way.v.03,give_way||give_way.v.03,"end resistance, as under pressure or force"
blow_out.v.01,blow_out||blow_out.v.01,"melt, break, or become otherwise unusable"
unfurl.v.01,unfurl||unfurl.v.01,"unroll, unfold, or spread out or be unrolled, unfolded, or spread out from a furled state"
roll_up.v.06,roll_up||roll_up.v.06,form a cylinder by rolling
roll_up.v.01,roll_up||roll_up.v.01,form into a cylinder by rolling
douse.v.05,douse||douse.v.05,lower quickly
reef.v.02,reef||reef.v.02,roll up (a portion of a sail) in order to reduce its area
bolt.v.07,bolt||bolt.v.07,make or roll into bolts
diversify.v.03,diversify||diversify.v.03,vary in order to spread risk or to expand
